,key,values,quest_id
210,item7,Law,906836e2-ce95-11eb-b267-7c67a234f601
211,item2,Statistics,90685b18-ce95-11eb-99e6-7c67a234f601
212,item3,Economics,90685b18-ce95-11eb-99e6-7c67a234f601
213,item1,Computer Science,90687faf-ce95-11eb-ba86-7c67a234f601
214,item7,Law,90687fb0-ce95-11eb-a8e5-7c67a234f601
215,item1,Computer Science,9068a856-ce95-11eb-bbd6-7c67a234f601
216,item5,Accounting,9068cd1e-ce95-11eb-a722-7c67a234f601
217,other,other,9068cd1f-ce95-11eb-b712-7c67a234f601
218,item2,Statistics,9068f405-ce95-11eb-b487-7c67a234f601
219,item1,Computer Science,9068f406-ce95-11eb-8144-7c67a234f601
220,item1,Computer Science,9068f407-ce95-11eb-a25c-7c67a234f601
221,item5,Accounting,9068f408-ce95-11eb-9caf-7c67a234f601
222,item6,Management,9068f409-ce95-11eb-971f-7c67a234f601
223,item1,Computer Science,90691afb-ce95-11eb-a4c3-7c67a234f601
224,other,other,90691afc-ce95-11eb-98d0-7c67a234f601
225,item1,Computer Science,90691afd-ce95-11eb-b77d-7c67a234f601
226,item1,Computer Science,90691afe-ce95-11eb-bc64-7c67a234f601
227,item5,Accounting,90691afe-ce95-11eb-bc64-7c67a234f601
228,item6,Management,90694207-ce95-11eb-b358-7c67a234f601
229,item1,Computer Science,90694e10-ce95-11eb-b312-7c67a234f601
230,other,other,90694e11-ce95-11eb-838b-7c67a234f601
231,item1,Computer Science,90694e12-ce95-11eb-812d-7c67a234f601
232,other,other,90694e13-ce95-11eb-bb46-7c67a234f601
233,other,other,906968f5-ce95-11eb-9e1a-7c67a234f601
234,other,other,9069789d-ce95-11eb-990c-7c67a234f601
235,item6,Management,9069789e-ce95-11eb-883e-7c67a234f601
236,item1,Computer Science,9069789e-ce95-11eb-883e-7c67a234f601
237,item2,Statistics,9069789f-ce95-11eb-9788-7c67a234f601
238,item3,Economics,9069789f-ce95-11eb-9788-7c67a234f601
239,other,other,9069789f-ce95-11eb-9788-7c67a234f601
240,other,other,90698fe9-ce95-11eb-a607-7c67a234f601
241,item1,Computer Science,90698fea-ce95-11eb-ae89-7c67a234f601
242,other,other,9069a205-ce95-11eb-be5a-7c67a234f601
243,item1,Computer Science,9069a206-ce95-11eb-9c6f-7c67a234f601
244,item8,Medicine,9069a207-ce95-11eb-9148-7c67a234f601
245,item6,Management,9069b6e0-ce95-11eb-9f22-7c67a234f601
246,item5,Accounting,9069b6e1-ce95-11eb-8356-7c67a234f601
247,other,other,9069cfab-ce95-11eb-97af-7c67a234f601
248,other,other,9069cfac-ce95-11eb-9487-7c67a234f601
249,item7,Law,9069ddd5-ce95-11eb-b041-7c67a234f601
250,item6,Management,9069ddd6-ce95-11eb-988c-7c67a234f601
251,other,other,9069ddd7-ce95-11eb-859c-7c67a234f601
252,other,other,9069ddd8-ce95-11eb-b0fb-7c67a234f601
253,item1,Computer Science,906a04c8-ce95-11eb-b468-7c67a234f601
254,item3,Economics,906a04c9-ce95-11eb-8f6a-7c67a234f601
255,item1,Computer Science,906a04ca-ce95-11eb-9b48-7c67a234f601
256,item3,Economics,906a04ca-ce95-11eb-9b48-7c67a234f601
257,item1,Computer Science,906a04cb-ce95-11eb-9bc2-7c67a234f601
258,item1,Computer Science,906a04cc-ce95-11eb-b561-7c67a234f601
259,item1,Computer Science,906a2d3f-ce95-11eb-a1ba-7c67a234f601
260,item1,Computer Science,906a2d40-ce95-11eb-bee9-7c67a234f601
261,item3,Economics,906a2d41-ce95-11eb-b7f9-7c67a234f601
262,other,other,906a2d42-ce95-11eb-a3de-7c67a234f601
263,item6,Management,906a52b4-ce95-11eb-b9bd-7c67a234f601
